treated_club,treated_season,treated_tier,treated_ps,control_club,control_season,control_ps,ps_dist
181,2022/2023,3,0.5854471227870195,69,2019/2020,0.5653381546123288,0.08231963853559343
172,2019/2020,3,0.09191439002624885,403,2023/2024,0.0920356380490392,0.001451800897259492
172,2019/2020,3,0.09191439002624885,66,2020/2021,0.09268626285180229,0.009213033174552798
172,2020/2021,3,0.15551895312785394,171,2024/2025,0.15462533201347337,0.006820261504562275
172,2020/2021,3,0.15551895312785394,107,2023/2024,0.15368185252677052,0.01405609320258705
273,2020/2021,1,0.6451883710872683,155,2024/2025,0.6660491051120336,0.09241414168023643
446,2023/2024,1,0.34378183940916485,271,2020/2021,0.3439719876311327,0.0008427600448956962
305,2019/2020,2,0.38141310049003563,63,2019/2020,0.38001362014503887,0.005935773873039896
305,2020/2021,2,0.2925679601537924,15,2019/2020,0.29189877378084245,0.0032353952678843
147,2023/2024,1,0.4482392220432197,143,2024/2025,0.44830053583008445,0.00024790876842090137
20,2019/2020,1,0.5934675162038303,279,2019/2020,0.5943827011269484,0.0037946452194059233
20,2024/2025,1,0.44820999162011493,281,2020/2021,0.44808991205731613,0.00048553960533873064
21,2022/2023,1,0.10890755731104719,183,2022/2023,0.10908349843164233,0.001811669091415613
21,2024/2025,1,0.0959226872041129,241,2024/2025,0.09530232104909546,0.007174311576490844
220,2022/2023,1,0.4312377134118842,365,2023/2024,0.42764199989639734,0.014675177651512272
220,2023/2024,1,0.5154694121884035,355,2023/2024,0.5181052634339578,0.010555328113419853
220,2023/2024,1,0.5154694121884035,159,2024/2025,0.5117639642361004,0.014832860774049536
212,2021/2022,3,0.5088524733422675,165,2020/2021,0.509779650946512,0.0037099994264829517
212,2022/2023,3,0.37651068406706734,402,2021/2022,0.3791354967969679,0.011165990861472741
212,2022/2023,3,0.37651068406706734,80,2020/2021,0.37352001475604635,0.012760031546114159
212,2024/2025,3,0.13286815834576332,101,2023/2024,0.1327635087440376,0.0009086076885209682
212,2024/2025,3,0.13286815834576332,97,2021/2022,0.13109071089254082,0.015515515524380685
212,2024/2025,3,0.13286815834576332,205,2022/2023,0.13478770734991385,0.016559786485375927
299,2019/2020,2,0.27899580611797975,257,2021/2022,0.27897023921952135,0.0001271027012212933
299,2020/2021,2,0.4714884556101597,122,2019/2020,0.47389339900418237,0.009648575460604172
299,2020/2021,2,0.4714884556101597,88,2020/2021,0.46857336237896324,0.011702448589849632
157,2020/2021,1,0.3195397580610941,280,2024/2025,0.31947831407365357,0.0002826011239840387
242,2019/2020,1,0.6441878515124156,451,2022/2023,0.6231161189094928,0.09079170368571066
209,2024/2025,3,0.1261630903354379,105,2019/2020,0.1260921636274695,0.000643504485253521
405,2022/2023,1,0.34267731541027474,133,2019/2020,0.3427348560511839,0.00025544256562759493
357,2020/2021,1,0.5760834760688115,152,2020/2021,0.5752188070174373,0.0035397095446900173
357,2021/2022,1,0.5221209831441258,217,2019/2020,0.5260101578202772,0.015592900654347527
357,2021/2022,1,0.5221209831441258,367,2020/2021,0.5261387220981145,0.016108560106806363
357,2022/2023,1,0.6021920333396786,273,2021/2022,0.5991473051623655,0.012693522587551243
357,2022/2023,1,0.6021920333396786,365,2020/2021,0.5916260850155253,0.04391538444263943
357,2022/2023,1,0.6021920333396786,230,2024/2025,0.61504668410147,0.05396911073793331
357,2022/2023,1,0.6021920333396786,149,2023/2024,0.6157485555858163,0.05693455598667596
81,2019/2020,2,0.6147044310707002,345,2020/2021,0.6072129354494809,0.031518916347798576
221,2019/2020,1,0.5293465865274182,505,2024/2025,0.5304552005613412,0.004450373645465466
221,2021/2022,1,0.4663732863107799,264,2019/2020,0.4673576769621384,0.003954932324378241
221,2021/2022,1,0.4663732863107799,266,2019/2020,0.4686503393361931,0.009146845504837381
221,2022/2023,1,0.6342543820795283,223,2020/2021,0.6225433880655127,0.05015434989093015
221,2022/2023,1,0.6342543820795283,223,2023/2024,0.6216649169732509,0.053891085779130876
221,2024/2025,1,0.5049725091601407,487,2024/2025,0.5069132387259192,0.007764024839813255
55,2019/2020,2,0.5255644615349762,255,2023/2024,0.5248024479475931,0.0030558069929636222
370,2023/2024,1,0.6686596878981526,185,2022/2023,0.6876625218201552,0.08708467021737065
370,2024/2025,1,0.28553932884807504,198,2022/2023,0.28645534106652115,0.004485798171577571
67,2022/2023,3,0.2769019832094116,207,2020/2021,0.27705735790660374,0.0007758573892889808
146,2021/2022,1,0.4185257017342123,197,2023/2024,0.4216819320284053,0.012955776311770917
317,2020/2021,2,0.24845571739751768,300,2023/2024,0.2474333786206574,0.005482654587036118
317,2021/2022,2,0.1920502655352769,304,2022/2023,0.1937361997601618,0.010829163447703571
317,2022/2023,2,0.36338286218539323,91,2022/2023,0.36421624296126365,0.0036007045744863575
