treated_club,treated_season,control_club,control_season,tier,hire_type,firing_mw,t_pre,t_post,c_pre,c_post,t_diff,c_diff,did
221,2021/2022,264,2019/2020,1,Permanent,23.0,-0.375,-0.6666666666666666,-0.5,0.5,-0.29166666666666663,1.0,-1.2916666666666665
221,2021/2022,266,2019/2020,1,Permanent,23.0,-0.375,-0.6666666666666666,-0.25,0.5833333333333334,-0.29166666666666663,0.8333333333333334,-1.125
221,2022/2023,223,2020/2021,1,Permanent,21.0,-0.875,-0.5741666666666666,-0.625,-1.3333333333333333,0.3008333333333334,-0.7083333333333333,1.0091666666666668
221,2022/2023,223,2023/2024,1,Permanent,21.0,-0.875,-0.5741666666666666,-0.8699999999999999,-0.8441666666666667,0.3008333333333334,0.025833333333333153,0.27500000000000024
221,2024/2025,487,2024/2025,1,Permanent,20.0,-0.39249999999999996,0.32249999999999995,-0.7925,-0.7041666666666667,0.7149999999999999,0.08833333333333326,0.6266666666666666
370,2023/2024,185,2022/2023,1,Permanent,11.0,-0.03375,0.14750000000000005,-1.625,-1.1758333333333333,0.18125000000000005,0.4491666666666667,-0.2679166666666667
370,2024/2025,198,2022/2023,1,Permanent,9.0,-1.2425,0.12166666666666669,-0.375,0.1416666666666667,1.3641666666666665,0.5166666666666667,0.8474999999999998
67,2022/2023,207,2020/2021,3,Permanent,11.0,0.1427272727272727,0.08333333333333333,-0.25,0.0,-0.059393939393939374,0.25,-0.3093939393939394
146,2021/2022,197,2023/2024,1,Permanent,13.0,0.125,0.75,-0.665,-0.5541666666666667,0.625,0.11083333333333334,0.5141666666666667
317,2020/2021,300,2023/2024,2,Permanent,27.0,-0.375,0.7777777777777778,1.3975,0.9854545454545455,1.1527777777777777,-0.4120454545454545,1.5648232323232323
317,2021/2022,304,2022/2023,2,Permanent,22.0,0.375,0.4166666666666667,-0.42857142857142855,-0.2727272727272727,0.041666666666666685,0.15584415584415584,-0.11417748917748916
317,2022/2023,91,2022/2023,2,Interim,19.0,-0.25,0.3333333333333333,-0.625,0.0,0.5833333333333333,0.625,-0.04166666666666674
317,2023/2024,57,2024/2025,2,Permanent,12.0,0.010000000000000142,-0.1825,-0.6666666666666666,-0.5,-0.19250000000000014,0.16666666666666663,-0.35916666666666675
317,2023/2024,319,2019/2020,2,Permanent,12.0,0.010000000000000142,-0.1825,-0.125,-0.16666666666666666,-0.19250000000000014,-0.04166666666666666,-0.15083333333333349
169,2022/2023,206,2023/2024,3,Interim,9.0,0.12937500000000002,-1.4166666666666667,-0.125,-1.3333333333333333,-1.5460416666666668,-1.2083333333333333,-0.3377083333333335
169,2022/2023,286,2021/2022,3,Interim,9.0,0.12937500000000002,-1.4166666666666667,-0.3333333333333333,-0.6666666666666666,-1.5460416666666668,-0.3333333333333333,-1.2127083333333335
169,2022/2023,443,2024/2025,3,Interim,9.0,0.12937500000000002,-1.4166666666666667,-0.75,-0.4166666666666667,-1.5460416666666668,0.3333333333333333,-1.879375
169,2024/2025,101,2022/2023,3,Permanent,21.0,-0.565,0.26,0.0,0.8333333333333334,0.825,0.8333333333333334,-0.008333333333333415
